1024OptimalCreate	1024OptimalRead	1024WorstCreate	1024WorstRead	2048OptimalCreate	2048OptimalRead	2048WorstCreate	2048WorstRead	4096OptimalCreate	4096OptimalRead	4096WorstCreate	4096WorstRead	8192OptimalCreate	8192OptimalRead	8192WorstCreate	8192WorstRead	16384OptimalCreate	16384OptimalRead	16384WorstCreate	16384WorstRead
0.000223522	0.000240655	0.008568541	0.010096572	0.000271854	0.000290881	0.033508737	0.041643567	0.000766271	0.000758067	0.144085074	0.169856636	0.001819679	0.001601349	0.588448633	0.69480247	0.002881864	0.002577382	2.371524262	2.890142476
0.000236091	0.000248672	0.008351891	0.01007187	0.000245981	0.000300466	0.040836053	0.045995119	0.000729509	0.000768137	0.140290336	0.169563442	0.001713433	0.00161939	0.562639686	0.690562337	0.002957339	0.002631596	2.373651873	2.887381663
0.000218846	0.000186456	0.008763555	0.010128544	0.000266405	0.000352337	0.034557347	0.041645645	0.000724308	0.00077599	0.1454903	0.171046121	0.001203791	0.001262809	0.586716483	0.694087111	0.003138207	0.00253732	2.367845713	2.889327194
0.000184119	0.000211265	0.008374564	0.010077039	0.000254053	0.000375286	0.036079658	0.041803382	0.000730949	0.00077654	0.142066248	0.171324146	0.001184873	0.001434808	0.561621137	0.689791826	0.002869417	0.00245182	2.372453027	2.89098122
0.000164296	0.000173588	0.008593789	0.010200701	0.000325775	0.000288609	0.03434392	0.041663116	0.000734621	0.000771029	0.146311915	0.171482006	0.00119948	0.001525736	0.579489172	0.691534907	0.002866406	0.002667727	2.365300237	2.940065121
0.000162601	0.000179973	0.008368826	0.010125772	0.000325876	0.000304729	0.035096032	0.041807585	0.000738761	0.000792453	0.144113015	0.174580509	0.001192275	0.001260912	0.561717975	0.690369818	0.00292128	0.00335151	2.363629062	2.871298183
0.000174466	0.000176462	0.008580907	0.010109742	0.000252989	0.000293743	0.034601154	0.041863507	0.000736663	0.000778866	0.207868519	0.213749653	0.001179214	0.001316981	0.580045373	0.692291914	0.002825642	0.002568063	2.38158641	2.901548204
0.000173935	0.000182736	0.008206683	0.009980037	0.000273703	0.000285037	0.033549937	0.041516368	0.000781552	0.000770751	0.168729375	0.187139176	0.001166541	0.001162083	0.54943258	0.684689242	0.002820741	0.002461698	2.377269523	2.922316267
0.000162127	0.000184098	0.008157106	0.009975729	0.000241545	0.000298309	0.035683171	0.041881216	0.000728269	0.00078048	0.162260733	0.191611721	0.001266908	0.001567943	0.58632013	0.696703153	0.002983111	0.002544337	2.392755109	2.89494802
0.000161857	0.00017546	0.008538502	0.010113786	0.000253189	0.000289264	0.034617266	0.041740518	0.000731235	0.000769724	0.157962175	0.192049652	0.001177229	0.001281317	0.560833297	0.690793085	0.002910719	0.002439623	2.360515419	2.887148073
0.000164382	0.000176062	0.008297686	0.010056138	0.00024273	0.000276012	0.035592072	0.0419357	0.000729942	0.00077347	0.15887272	0.188925379	0.0011899	0.001580463	0.585649835	0.696107268	0.00313626	0.003040264	2.364569783	2.887165529
0.000178688	0.000180384	0.008555683	0.010102982	0.00024944	0.000277618	0.034896907	0.041799957	0.000728457	0.000765472	0.153627735	0.189333522	0.001168781	0.001314106	0.56145409	0.690807955	0.003122395	0.002352483	2.36557229	2.937695297
0.000172719	0.00018099	0.008300536	0.010058106	0.000243433	0.00028269	0.035378406	0.041989544	0.000722398	0.000777992	0.161746884	0.191907745	0.00152573	0.001975331	0.580069237	0.692885506	0.002953364	0.002545146	2.35597357	2.885003923
0.000171827	0.000181985	0.008520392	0.010105841	0.000251786	0.000276299	0.034791951	0.041769536	0.000730548	0.000779253	0.153253753	0.187332614	0.003236779	0.001648033	0.562064682	0.690820355	0.002918403	0.002689639	2.447031627	2.897954469
0.000172861	0.000182271	0.008342585	0.010054674	0.000279629	0.000384287	0.035469421	0.041869875	0.000718004	0.000763203	0.16371685	0.190603197	0.001406222	0.001315795	0.579991867	0.693406211	0.002901061	0.002857349	2.374663897	2.892089144
0.00017095	0.000179133	0.008506985	0.010072823	0.000320107	0.000369961	0.034530478	0.04220415	0.00064023	0.000602384	0.157694596	0.187900518	0.001213407	0.001267288	0.56223392	0.6914457	0.002893051	0.002570085	2.374201307	2.897292227
0.000228997	0.000214898	0.008325711	0.010140472	0.00025971	0.000295511	0.039600199	0.042055481	0.00052247	0.000617318	0.161995512	0.189438886	0.00129682	0.001309664	0.580486223	0.691770614	0.003095157	0.002615593	2.539960318	2.885483398
