1024OptimalCreate	1024OptimalRead	1024WorstCreate	1024WorstRead	2048OptimalCreate	2048OptimalRead	2048WorstCreate	2048WorstRead	4096OptimalCreate	4096OptimalRead	4096WorstCreate	4096WorstRead	8192OptimalCreate	8192OptimalRead	8192WorstCreate	8192WorstRead	16384OptimalCreate	16384OptimalRead	16384WorstCreate	16384WorstRead
0.000524893	0.00031471	0.036077668	0.02356963	0.001454566	0.000877253	0.144847169	0.095787712	0.002789403	0.00149238	0.594078409	0.403632663	0.005892536	0.003174624	2.815050704	1.97445646	0.013311597	0.006789136	x	x
0.000538854	0.000316355	0.036356033	0.023315403	0.001455631	0.000873379	0.159954375	0.096233685	0.002654356	0.001892298	0.623616007	0.408613928	0.005822527	0.003143674	3.054658139	2.015441013	0.013293206	0.006753768	x	x
0.000534778	0.000316663	0.036287299	0.023246726	0.00146128	0.000858052	0.145833674	0.096150009	0.004561187	0.002509438	0.604523326	0.425490338	0.005792419	0.003143565	3.067839339	2.032118059	0.013240295	0.006797419	x	x
0.000533413	0.000315874	0.03602572	0.023732236	0.001496585	0.000893629	0.146191624	0.096935657	0.004345413	0.001535521	0.598616745	0.436501574	0.00583806	0.003133423	3.023925889	2.025806921	0.013325275	0.006774676	x	x
0.000529558	0.000318754	0.036159723	0.023506509	0.001476555	0.000883711	0.193891961	0.120929983	0.002681242	0.001602175	0.637007236	0.485211322	0.005771324	0.003146552	3.088616689	2.040620513	0.013283601	0.006761466	x	x
0.000528189	0.000317864	0.036699457	0.023364708	0.001480294	0.000898382	0.156468591	0.098005103	0.00264479	0.001475763	0.622375535	0.408789019	0.005840335	0.003140255	2.933152381	1.976354624	0.01336164	0.006765782	x	x
0.000525013	0.000316285	0.036299684	0.023515078	0.001474883	0.000907852	0.161600461	0.096237373	0.002886283	0.003392071	0.594699003	0.41037022	0.00581775	0.003134752	2.827606687	1.98432105	0.01336819	0.006811328	x	x
0.000546254	0.000314936	0.036130617	0.023892489	0.001519719	0.00098349	0.16203578	0.139401086	0.006054381	0.002709552	0.613922584	0.429953248	0.005889593	0.003166901	2.944035328	1.930293871	0.01330451	0.006808836	x	x
0.000531981	0.00031697	0.036350258	0.023597489	0.00145834	0.000690512	0.162789607	0.112392489	0.005717965	0.001668275	0.651388096	0.475961779	0.005761263	0.003132217	2.996316242	1.927422376	0.013296897	0.006808782	x	x
0.000533755	0.00031483	0.036856949	0.023752333	0.001189264	0.000700583	0.164632584	0.10496569	0.002928714	0.003244469	0.730112822	0.402913095	0.005787366	0.003144334	2.726408903	1.805982659	0.013276012	0.006787022	x	x
0.000559329	0.000315364	0.036145677	0.023384902	0.00125394	0.000801319	0.172536781	0.107099565	0.004893638	0.003082036	0.61571321	0.411387851	0.005808441	0.003127205	2.639561475	1.762890979	0.013319701	0.006796357	x	x
0.000532589	0.000315838	0.03669789	0.023422278	0.001242912	0.000702096	0.170963383	0.106973385	0.005205553	0.001699925	0.610342002	0.419571226	0.005856815	0.003123356	2.61387532	1.758476509	0.013303015	0.006776838	x	x
0.000526197	0.000320534	0.036139679	0.023423602	0.001199272	0.000691409	0.158283391	0.129235833	0.002970585	0.001461328	0.604790779	0.401883333	0.005793802	0.003140682	2.61734118	1.831763814	0.013209368	0.006767246	x	x
0.00052665	0.000322333	0.036158213	0.023335915	0.001180998	0.000688481	0.208981386	0.104548245	0.0027117	0.00166858	0.597715659	0.401127522	0.005876551	0.003143877	2.642893064	1.843971502	0.013285024	0.006815836	x	x
0.000536117	0.000321918	0.036311609	0.023475278	0.001181133	0.000687982	0.17321417	0.111601152	0.002684095	0.001487531	0.597500115	0.400522868	0.005803283	0.003164007	2.843993744	1.856390294	0.013233738	0.006791431	x	x
0.000538272	0.000316242	0.036251867	0.023477493	0.001183327	0.000687391	0.164618267	0.104208448	0.002799368	0.001460876	0.59548318	0.432834432	0.005864027	0.00313995	2.944737458	1.805042416	0.013343687	0.006799183	x	x
0.000534309	0.000314855	0.036296033	0.023550776	0.001187549	0.0006907	0.153203398	0.108932767	0.00262252	0.001550884	0.626625486	0.408344065	0.005792055	0.003141541	2.596151283	1.7237479	0.013287811	0.006781037	x	x
0.000536835	0.000319307	0.036434641	0.023725729	0.001189729	0.000686036	0.183570761	0.115752968	0.002688589	0.001450779	0.600411176	0.408243563	0.00582249	0.003183393	2.513549841	1.853350748	0.013374115	0.0067926	x	x
0.000533336	0.000316543	0.036143714	0.023390787	0.00126479	0.000778487	0.180125088	0.096432978	0.002780278	0.001555334	0.640124295	0.402344271	0.005833183	0.003145747	2.653612661	1.897690378	0.01326488	0.006771863	x	x
0.000530218	0.000314802	0.036427796	0.023571695	0.00145416	0.000884199	0.160220038	0.095707393	0.002644865	0.001466946	0.618106097	0.428837601	0.005853042	0.003167385	2.982648489	1.756615184	0.013328455	0.006764478	x	x
