1024OptimalCreate	1024OptimalRead	1024WorstCreate	1024WorstRead	2048OptimalCreate	2048OptimalRead	2048WorstCreate	2048WorstRead	4096OptimalCreate	4096OptimalRead	4096WorstCreate	4096WorstRead	8192OptimalCreate	8192OptimalRead	8192WorstCreate	8192WorstRead	16384OptimalCreate	16384OptimalRead	16384WorstCreate	16384WorstRead
0.000092	0.000079	0.001717	0.008608	0.000256	0.000213	0.006976	0.035148	0.000517	0.000463	0.027862	0.142093	0.000928	0.000969	0.110578	0.570636	0.001939	0.002089	0.447051	2.305286
0.000101	0.00009	0.001716	0.008615	0.000197	0.000212	0.006972	0.035201	0.000495	0.000461	0.027877	0.141822	0.000967	0.00098	0.110633	0.570694	0.002099	0.002082	0.446616	2.580279
0.00011	0.000077	0.001712	0.008618	0.000216	0.000211	0.007014	0.036068	0.000394	0.000463	0.027825	0.141767	0.000881	0.000978	0.11048	0.570535	0.001938	0.002121	0.564864	2.311443
0.000101	0.000085	0.001722	0.008635	0.000246	0.00021	0.007166	0.036365	0.000408	0.000461	0.027725	0.141905	0.001004	0.000983	0.110651	0.570951	0.001706	0.00209	0.442537	2.307021
0.000094	0.000081	0.00172	0.008604	0.000211	0.000211	0.007147	0.036354	0.000396	0.000459	0.02796	0.141816	0.000807	0.000979	0.110547	0.571653	0.001894	0.002074	0.480993	2.291121
0.000108	0.00009	0.001714	0.008612	0.00024	0.000211	0.007211	0.036398	0.000382	0.000462	0.027852	0.141799	0.001002	0.000971	0.110703	0.570714	0.002234	0.002098	0.44225	2.291767
0.000111	0.000082	0.001764	0.008609	0.000191	0.00021	0.007191	0.036449	0.000394	0.000465	0.028023	0.141816	0.000812	0.000973	0.110848	0.570699	0.001938	0.002078	0.441854	2.294527
0.000125	0.000081	0.001724	0.008629	0.000241	0.000211	0.007603	0.035369	0.000401	0.000465	0.027844	0.142051	0.001064	0.000974	0.110627	0.570455	0.001887	0.002074	0.441711	2.291674
0.000124	0.000086	0.001733	0.008676	0.000198	0.000211	0.006973	0.035224	0.000392	0.000466	0.027734	0.141981	0.000946	0.000973	0.1104	0.570627	0.001769	0.002077	0.440791	2.292061
0.000124	0.000089	0.00175	0.008609	0.000196	0.000212	0.006967	0.035142	0.000398	0.000467	0.027807	0.142068	0.001	0.000978	0.110499	0.570729	0.002107	0.002061	0.441329	2.292788
